name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Belgrade Serbia,2021-07-01,29.3,19.1,24.9,28.8,19.1,24.9,15.4,57.3,0.099,100,4.17,rain,0,0,34.9,20.5,309.3,1010.7,38.6,15,273.1,23.5,8,,2021-07-01T04:56:09,2021-07-01T20:27:47,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"13272099999,LYBE,13272599999,13183099999,13274099999,LYBT"
Belgrade Serbia,2021-07-02,26,17,21.1,26,17,21.1,14.4,68.7,6.984,100,8.33,rain,0,0,43.2,21.5,278.1,1014.1,51.5,14.9,277.8,24.1,8,,2021-07-02T04:56:43,2021-07-02T20:27:35,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"13272099999,LYBE,13272599999,13183099999,13274099999,LYBT"
Belgrade Serbia,2021-07-03,26.3,14.7,21.1,26.3,14.7,21.1,13.1,61.9,0,0,0,,0,0,37.1,24.2,270.1,1014.2,51.2,14.9,231.8,20.3,7,,2021-07-03T04:57:19,2021-07-03T20:27:20,0.78,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"13272099999,LYBE,13272599999,13183099999,13274099999,LYBT"
Belgrade Serbia,2021-07-04,29.3,16.4,23.9,28.3,16.4,23.7,13.2,54.3,0.001,100,4.17,rain,0,0,28.8,12,262.8,1011.6,46.9,16.5,272.9,23.6,8,,2021-07-04T04:57:56,2021-07-04T20:27:02,0.82,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"13272099999,LYBE,13272599999,13183099999,13274099999,LYBT"
Belgrade Serbia,2021-07-05,30.3,19.2,25.1,29.8,19.2,25.1,15.1,54.9,0,0,0,,0,0,40.7,18.1,280.2,1009.1,51.3,16.3,230.8,20.1,7,,2021-07-05T04:58:36,2021-07-05T20:26:43,0.85,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"13272099999,LYBE,13272599999,13183099999,13274099999,LYBT"
Belgrade Serbia,2021-07-06,32.3,18.7,26,31.8,18.7,25.9,16.3,58.3,0,0,0,,0,0,22,13.9,279.7,1013.4,24.1,15.9,280.3,24.3,8,,2021-07-06T04:59:17,2021-07-06T20:26:21,0.88,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"13272099999,LYBE,13272599999,13183099999,13274099999,LYBT"
Belgrade Serbia,2021-07-07,35,19.1,28.5,34.9,19.1,28.5,16,49.7,0,0,0,,0,0,17.6,10.4,83,1014.6,0.8,15.7,327,28.3,9,,2021-07-07T04:59:59,2021-07-07T20:25:56,0.91,Clear,Clear conditions throughout the day.,clear-day,"13272099999,LYBE,13272599999,13183099999,13274099999,LYBT"
Belgrade Serbia,2021-07-08,36.5,20.7,30,36.8,20.7,30.2,16.4,46.7,0,0,0,,0,0,40.3,21.1,87.7,1017.2,2.6,16.5,326.9,28.3,9,,2021-07-08T05:00:43,2021-07-08T20:25:30,0.95,Clear,Clear conditions throughout the day.,clear-day,"13272099999,LYBE,13272599999,13183099999,13274099999,LYBT"
Belgrade Serbia,2021-07-09,36,24,29.4,36.7,24,29.9,17.5,50.5,0.003,100,4.17,rain,0,0,79.2,37,119.1,1015,57.2,15.5,279,24.1,8,,2021-07-09T05:01:29,2021-07-09T20:25:01,0.98,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"13272099999,LYBE,13272599999,13183099999,13274099999,LYBT"
Belgrade Serbia,2021-07-10,31.8,20,25.7,32.5,20,26.1,17.8,63.1,0.69,100,4.17,rain,0,0,39.6,18.4,313,1015.2,43.1,15.7,261.8,22.7,7,,2021-07-10T05:02:16,2021-07-10T20:24:30,0,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"13272099999,LYBE,13272599999,13183099999,13274099999,LYBT"
Belgrade Serbia,2021-07-11,33.3,19.5,27.5,32.4,19.5,27.1,14.7,49.6,0,0,0,,0,0,54,24.7,102.3,1012.1,19.3,15.9,322.1,27.7,9,,2021-07-11T05:03:04,2021-07-11T20:23:56,0.05,Clear,Clear conditions throughout the day.,clear-day,"13272099999,LYBE,13272599999,13183099999,13274099999,LYBT"
Belgrade Serbia,2021-07-12,32.7,21.1,27.2,33.4,21.1,27.5,16.8,54.5,0,0,0,,0,0,57.6,15.6,246.6,1012.7,17.7,16.5,308.9,26.8,9,,2021-07-12T05:03:54,2021-07-12T20:23:20,0.08,Clear,Clear conditions throughout the day.,clear-day,"13272099999,LYBE,13272599999,13183099999,13274099999,LYBT"
Belgrade Serbia,2021-07-13,37.5,21.1,30.4,38.1,21.1,30.6,17,48.3,0,0,0,,0,0,57.6,20.4,118.1,1010.5,6.7,16.9,320.7,27.8,9,,2021-07-13T05:04:45,2021-07-13T20:22:42,0.12,Clear,Clear conditions throughout the day.,clear-day,"13272099999,LYBE,13272599999,13183099999,13274099999,LYBT"
Belgrade Serbia,2021-07-14,38.3,27.5,32.2,39,27.4,32.3,15.3,37.1,0,0,0,,0,0,82.8,32.7,123.7,1008.8,36.3,16.1,303.4,26.3,9,,2021-07-14T05:05:38,2021-07-14T20:22:02,0.16,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"13272099999,LYBE,13272599999,13183099999,13274099999,LYBT"
Belgrade Serbia,2021-07-15,32.1,21.8,27.6,32.8,21.8,27.7,16.9,54,0.015,100,4.17,rain,0,0,64.8,15.3,305.9,1011,30.4,18,278.8,24,8,,2021-07-15T05:06:31,2021-07-15T20:21:20,0.19,"Rain, Partially cloudy",Becoming cloudy in the afternoon with early morning rain.,rain,"13272099999,LYBE,13272599999,13183099999,13274099999,LYBT"
Belgrade Serbia,2021-07-16,28.3,20.5,23.5,30.3,20.5,23.7,20,81,6.713,100,16.67,rain,0,0,38.9,18.3,10.6,1010.9,52.2,13.3,232.7,20.1,8,,2021-07-16T05:07:26,2021-07-16T20:20:35,0.23,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"13272099999,LYBE,13272599999,13183099999,13274099999,LYBT"
Belgrade Serbia,2021-07-17,27,18.7,22,28.4,18.7,22.1,18.9,83.5,2.332,100,12.5,rain,0,0,36.7,30.2,114.4,1009.5,62.2,8.7,224.3,19.3,7,,2021-07-17T05:08:22,2021-07-17T20:19:49,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"13272099999,LYBE,13272599999,13183099999,13274099999,LYBT"
Belgrade Serbia,2021-07-18,29.7,18,22.4,32,18,22.8,19.4,84.3,27.214,100,12.5,rain,0,0,57.6,23.9,355.5,1008.5,57.9,9.4,254.8,22.2,8,,2021-07-18T05:09:19,2021-07-18T20:19:00,0.3,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"13272099999,LYBE,13272599999,13183099999,13274099999,LYBT"
Belgrade Serbia,2021-07-19,25,19,21.1,25,19,21.1,19,88,16.053,100,12.5,rain,0,0,32.4,14.9,310.5,1009.9,79.1,10.3,158.4,13.7,5,,2021-07-19T05:10:17,2021-07-19T20:18:09,0.33,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"13272099999,LYBE,13272599999,13183099999,13274099999,LYBT"
Belgrade Serbia,2021-07-20,27.8,19,22.8,28.6,19,23,18.5,78.7,3.124,100,12.5,rain,0,0,39.2,25.4,299.6,1012.1,58.2,10.8,189.7,16.4,6,,2021-07-20T05:11:16,2021-07-20T20:17:16,0.37,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"13272099999,LYBE,13272599999,13183099999,13274099999,LYBT"
Belgrade Serbia,2021-07-21,26,15.7,21.5,26,15.7,21.5,14.3,65.1,0,0,0,,0,0,38.2,27.1,291.7,1018.2,38.5,13.3,253.2,22,7,,2021-07-21T05:12:16,2021-07-21T20:16:22,0.4,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"13272099999,LYBE,13272599999,13183099999,13274099999,LYBT"
Belgrade Serbia,2021-07-22,27.5,15.7,22.4,27.8,15.7,22.4,15.1,65.9,0,0,0,,0,0,25.6,13,327.9,1019.1,21.2,13.6,263.3,22.9,8,,2021-07-22T05:13:17,2021-07-22T20:15:25,0.44,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"13272099999,LYBE,13272599999,13183099999,13274099999,LYBT"
Belgrade Serbia,2021-07-23,28.6,16.4,23,28.4,16.4,23,15,63.9,0,0,0,,0,0,21.6,10.1,291,1016.3,37.9,14.9,223,19.1,8,,2021-07-23T05:14:19,2021-07-23T20:14:26,0.48,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"13272099999,LYBE,13272599999,13183099999,13274099999,LYBT"
Belgrade Serbia,2021-07-24,29.8,17.4,24,29.4,17.4,23.9,15.4,61.3,0,0,0,,0,0,20.9,12.3,130.5,1014.9,20.7,13.1,263.4,22.7,7,,2021-07-24T05:15:21,2021-07-24T20:13:25,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"13272099999,LYBE,13272599999,13183099999,13274099999,LYBT"
Belgrade Serbia,2021-07-25,33,20.2,26.6,33.6,20.2,26.8,15.5,51.6,0,0,0,,0,0,79.2,21.6,119.7,1013.1,45.8,14.9,296.3,25.4,9,,2021-07-25T05:16:24,2021-07-25T20:12:22,0.54,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"13272099999,LYBE,13272599999,13183099999,13274099999,LYBT"
Belgrade Serbia,2021-07-26,32.2,24.7,28,33.7,24.7,28.8,17.2,52,0,0,0,,0,0,90,24.1,130.3,1014.3,70,13.7,243,20.9,8,,2021-07-26T05:17:28,2021-07-26T20:11:18,0.57,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"13272099999,LYBE,13272599999,13183099999,13274099999,LYBT"
Belgrade Serbia,2021-07-27,35.5,22.5,29.7,36.1,22.5,30.3,18.3,53.1,0,0,0,,0,0,43.2,13.2,115.9,1016.2,32.7,15.7,299.5,25.7,9,,2021-07-27T05:18:33,2021-07-27T20:10:12,0.61,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"13272099999,LYBE,13272599999,13183099999,13274099999,LYBT"
Belgrade Serbia,2021-07-28,38.3,22.5,30.4,38.3,22.5,31.5,18.7,52.5,0,0,0,,0,0,43.2,11.5,194.6,1013.6,25.2,15.7,300.5,26.1,9,,2021-07-28T05:19:38,2021-07-28T20:09:03,0.64,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"13272099999,LYBE,13272599999,13183099999,13274099999,LYBT"
Belgrade Serbia,2021-07-29,32.8,23.2,28.2,34.6,23.2,29.3,19.4,59.9,0,0,0,,0,0,27.4,13.5,332.2,1013,31.3,14.5,300.5,26,9,,2021-07-29T05:20:43,2021-07-29T20:07:54,0.67,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"13272099999,LYBE,13272599999,13183099999,13274099999,LYBT"
Belgrade Serbia,2021-07-30,34.1,20.4,27.8,35,20.4,28.3,18,57.7,0,0,0,,0,0,15.8,10.8,4.4,1011.1,7.3,16.5,287.1,24.7,9,,2021-07-30T05:21:50,2021-07-30T20:06:42,0.7,Clear,Clear conditions throughout the day.,clear-day,"13272099999,LYBE,13272599999,13183099999,13274099999,LYBT"
Belgrade Serbia,2021-07-31,35,21.8,28.4,35.8,21.8,29.2,18.3,55.8,0,0,0,,0,0,27.7,15.5,272.3,1009.4,18,16.5,288.9,25,9,,2021-07-31T05:22:56,2021-07-31T20:05:29,0.75,Clear,Clear conditions throughout the day.,clear-day,"13272099999,LYBE,13272599999,13183099999,13274099999,LYBT"
